Date,Price,Open,High,Low,Vol.,Change %
2018-03-09,"30,996.21","30,858.27","30,996.21","30,840.80",1.52B,1.11%
2018-03-08,"30,654.52","30,523.68","30,724.03","30,428.61",1.58B,1.52%
2018-03-07,"30,196.92","30,323.77","30,673.08","30,117.40",2.20B,-1.03%
2018-03-06,"30,510.73","30,380.96","30,620.06","30,129.80",2.34B,2.09%
2018-03-05,"29,886.39","30,524.26","30,679.47","29,852.42",2.35B,-2.28%
2018-03-02,"30,583.45","30,611.10","30,670.94","30,477.95",3.05B,-1.48%
2018-03-01,"31,044.25","30,476.99","31,081.68","30,453.82",2.18B,0.65%
2018-02-28,"30,844.72","31,037.41","31,061.76","30,703.90",2.48B,-1.36%
2018-02-27,"31,268.66","31,790.85","31,798.98","31,141.52",2.66B,-0.73%
2018-02-26,"31,498.60","31,528.29","31,567.46","31,273.95",2.09B,0.74%
2018-02-23,"31,267.17","31,289.08","31,386.81","31,149.32",1.72B,0.97%
2018-02-22,"30,965.68","31,084.45","31,195.27","30,930.10",2.47B,-1.48%
2018-02-21,"31,431.89","31,050.52","31,477.85","30,885.95",1.99B,1.81%
2018-02-20,"30,873.63","31,165.29","31,339.69","30,720.48",2.10B,-0.78%
2018-02-15,"31,115.43","30,958.71","31,145.10","30,816.65",2.13B,1.97%
2018-02-14,"30,515.60","30,024.47","30,637.23","29,968.54",2.48B,2.27%
2018-02-13,"29,839.53","29,850.15","30,169.00","29,783.10",2.79B,1.29%
2018-02-12,"29,459.63","29,713.08","29,801.52","29,459.63",2.90B,-0.16%
2018-02-09,"29,507.42","29,679.21","29,679.21","29,129.26",5.33B,-3.10%
2018-02-08,"30,451.27","30,555.80","30,739.11","30,251.32",3.24B,0.42%
2018-02-07,"30,323.20","31,378.35","31,472.47","30,292.15",4.76B,-0.89%
2018-02-06,"30,595.42","31,028.68","31,286.03","30,577.83",5.70B,-5.12%
2018-02-05,"32,245.22","31,715.56","32,394.87","31,712.02",3.23B,-1.09%
2018-02-02,"32,601.78","32,569.01","32,778.51","32,321.42",2.65B,-0.12%
2018-02-01,"32,642.09","32,950.30","33,048.04","32,642.09",2.85B,-0.75%
2018-01-31,"32,887.27","32,435.76","32,933.98","32,330.39",3.42B,0.86%
2018-01-30,"32,607.29","32,751.72","32,976.75","32,501.35",3.28B,-1.09%
2018-01-29,"32,966.89","33,335.48","33,484.08","32,897.04",3.72B,-0.56%
2018-01-26,"33,154.12","32,836.28","33,223.58","32,794.13",4.01B,1.53%
2018-01-25,"32,654.45","32,979.38","32,998.05","32,650.22",3.56B,-0.92%
2018-01-24,"32,958.69","32,907.23","33,018.71","32,728.51",4.02B,0.09%
2018-01-23,"32,930.70","32,606.14","32,930.70","32,554.23",4.08B,1.66%
2018-01-22,"32,393.41","32,276.96","32,417.23","32,046.84",2.97B,0.43%
2018-01-19,"32,254.89","32,142.16","32,254.89","31,986.00",3.00B,0.41%
2018-01-18,"32,121.94","32,148.45","32,233.81","31,869.70",3.86B,0.43%
2018-01-17,"31,983.41","31,825.52","31,983.41","31,642.27",4.12B,0.25%
2018-01-16,"31,904.75","31,423.62","31,904.75","31,423.62",3.19B,1.81%
2018-01-15,"31,338.87","31,702.56","31,733.18","31,265.25",2.75B,-0.23%
2018-01-12,"31,412.54","31,298.05","31,412.54","31,198.36",2.40B,0.94%
