Date,Price,Open,High,Low,Vol.,Change %
2019-01-16,499.87,500.55,501.05,496.92,77.43M,0.34%
2019-01-15,498.2,499.21,500.15,495.15,74.44M,0.65%
2019-01-14,494.99,495.32,496.92,493.69,73.38M,-0.73%
2019-01-11,498.65,499.34,501.18,496.81,78.38M,0.18%
2019-01-10,497.77,493.9,497.77,492.17,81.10M,0.31%
2019-01-09,496.21,497.05,499.04,494.82,93.94M,0.51%
2019-01-08,493.69,491.72,497.35,491.4,93.04M,0.39%
2019-01-07,491.75,494.23,494.59,488.98,75.17M,-0.05%
2019-01-04,492.01,484.3,493.39,483.29,95.99M,2.41%
2019-01-03,480.41,480.74,483.8,478.2,87.79M,-1.27%
2019-01-02,486.57,479.91,488.37,477.05,75.58M,-0.27%
2018-12-31,487.88,486.41,488.37,484.95,25.13M,0.77%
2018-12-28,484.17,480.06,485.94,477.9,76.23M,1.71%
2018-12-27,476.03,486.15,486.27,472.19,97.18M,-0.48%
2018-12-24,478.34,480.25,483.63,478.34,28.53M,-1.33%
2018-12-21,484.81,483.15,484.81,477.75,197.44M,-0.24%
2018-12-20,485.97,487.82,489.56,485.24,126.13M,-2.02%
2018-12-19,495.99,493.36,497.06,493.02,88.29M,0.31%
2018-12-18,494.45,496.04,497.48,493.08,110.33M,-1.13%
2018-12-17,500.08,504.89,504.89,498.08,81.62M,-1.27%
2018-12-14,506.53,503.43,508.19,500.24,84.24M,-0.34%
2018-12-13,508.27,511.15,511.52,506.28,98.07M,-0.28%
2018-12-12,509.72,503.67,511.84,503.67,96.50M,1.74%
2018-12-11,501.01,498.41,505.22,497.81,96.23M,1.15%
2018-12-10,495.31,500.75,502.53,493.57,108.72M,-1.72%
2018-12-07,503.98,502.48,509.52,502.16,100.56M,1.01%
2018-12-06,498.92,510.71,511,496.64,136.85M,-3.32%
2018-12-05,516.04,518.44,518.7,515.98,72.94M,-1.37%
2018-12-04,523.23,523.84,525.25,522.27,93.35M,-0.12%
2018-12-03,523.87,529.74,530.03,523.48,101.36M,0.87%
2018-11-30,519.37,520.38,521.11,516.85,143.03M,-0.17%
2018-11-29,520.28,523.57,523.86,518.16,96.14M,0.13%
2018-11-28,519.58,521.95,522.65,518.43,108.63M,0.00%
2018-11-27,519.56,519.5,520.33,516.09,97.29M,0.13%
2018-11-26,518.91,518.06,520.43,516.2,119.07M,0.98%
2018-11-23,513.85,514.37,515.62,509.46,82.01M,-0.05%
2018-11-22,514.1,515.67,516.3,513.74,96.57M,-0.63%
